tag,release_datetime
4774769,2024-09-16T08:36:43
v1.0.418,2024-09-19T08:57:21
v1.0.419,2024-09-26T09:18:36
v1.0.421,2024-10-03T08:57:26
v1.0.422,2024-10-10T09:34:50
v1.0.423,2024-10-11T10:46:38
v1.0.424,2024-10-17T08:21:16
f29cb50,2024-10-23T09:05:15
v1.0.425,2024-10-24T08:58:14
72dbac6,2024-10-24T14:28:28
f09e033,2024-10-24T14:55:28
v1.0.426,2024-10-31T10:17:32
0e98cf9,2024-11-05T13:59:51
v1.0.427,2024-11-07T13:53:32
v1.0.428,2024-11-15T11:32:10
1e11d8d,2024-11-19T15:07:15
v1.0.429,2024-11-22T10:40:29
d4c45da,2024-11-22T11:32:33
30bb085,2024-11-25T11:07:37
v1.0.430,2024-11-28T10:12:11
v1.0.431,2024-12-05T10:05:31
v1.0.432,2025-01-08T14:59:59
v1.0.433,2025-01-16T09:12:37
v1.0.434,2025-01-23T10:58:51
v1.0.435,2025-02-04T13:19:02
v1.0.436,2025-02-07T10:02:02
v1.0.437,2025-02-13T09:38:30
b401dd66,2025-02-26T08:10:17
v1.1.0,2025-02-26T10:16:28
v1.1.1,2025-03-06T08:44:32
d4cfcee3,2025-03-11T10:28:02
v1.1.2,2025-03-13T09:03:26
f7d8bbdb,2025-03-18T14:19:36
v1.1.3,2025-03-20T09:29:54
v1.1.4,2025-03-27T11:23:30
a5a9eb01,2025-04-02T08:29:11
v1.1.5,2025-04-03T09:40:24
v1.1.6,2025-04-11T07:26:14
9abeda75,2025-04-16T12:25:36
v1.1.7,2025-04-24T10:03:11
d3e663f1,2025-04-28T14:01:08
bdab252a,2025-05-02T08:40:31
v1.1.8,2025-05-08T09:21:49
v1.1.9,2025-05-15T15:06:35
v1.2.0,2025-05-29T09:20:00
2554ba78,2025-06-04T17:23:01
v1.2.1,2025-06-09T11:11:49
v1.2.3,2025-06-13T09:05:26
v1.3.0,2025-06-20T15:03:20
dbec68fd,2025-07-01T10:35:55
v1.3.1,2025-07-07T12:44:40
v1.3.2,2025-07-14T08:05:28
v1.3.3,2025-07-17T08:31:40
v1.3.4,2025-07-23T14:41:08
v1.3.5,2025-07-24T09:32:10
v1.3.6,2025-07-31T09:59:53
4599c8a3,2025-08-01T11:21:47
9184d873,2025-08-04T11:55:47
v1.3.7,2025-08-08T10:34:03
v1.3.8,2025-08-13T22:40:19
v1.3.9,2025-08-27T10:58:55
5eb5aacb,2025-09-01T11:17:41
v1.3.10,2025-09-01T14:27:22
v1.3.11,2025-09-03T11:57:31
281ae99a,2025-09-10T12:26:03
v1.4.1,2025-09-11T11:09:25
5a0bec30,2025-09-12T13:17:24
v1.4.2,2025-09-17T10:18:44
f8303f18,2025-10-01T09:58:54
